107 108.5 108.5 108 108 107.5 107.5 107.5 106.5 106.5 
106.5 108.5 110.5 112 112.5 115 118 117.5 118.5 117 
115.5 116 118.5 119 117 115 114.5 114.5 114 115 
115 114.5 117 117 115.5 114.5 114.5 110 110.5 109 
109 109.5 110 108.5 109 107.5 105.5 107 108 105 
106.5 108 109 109.5 106.5 105 105 104.5 105 104.5 
106 104.5 101.5 104 103.5 103.5 104 104.5 104 102 
102 102 102.5 103.5 102.5 103.5 104.5 106 106.5 107.5 
108 108.5 108 107 106 107 107.5 107 105.5 107 
107 109 111.5 113.5 117 119 116.5 116.5 116 115 
116 117 117.5 116 115 114 114.5 115 114.5 115 
114 116 116 114.5 114 113.5 110.5 109.5 110.5 110.5 
110 110.5 109 109 107.5 107 107 107.5 106.5 106 
106 108 107 107.5 107 106 105.5 105 103.5 102.5 
105.5 103 105 104.5 103.5 103 103.5 104.5 102 102 
102 102 103 103.5 104 105.5 105.5 106 106.5 107 
107.5 106.5 106.5 106 106.5 106.5 107.5 106 107.5 109 
110 111.5 116.5 121 119 115.5 114 114.5 114.5 115 
115 116.5 116.5 115.5 115.5 114 114.5 114 113.5 114 
115 114.5 114 112 113.5 112 110.5 111.5 110 111 
111 108.5 110 106.5 107 108 108 107 108 107.5 
106.5 106 107.5 106 106 107 106.5 104.5 105.5 103.5 
105 104.5 105 104 104 103 103 102 102 102 
103 103 104 104.5 104 106 106.5 106.5 106.5 106.5 
106.5 106.5 107 106 107 107 106.5 107.5 107 108.5 
111 115 116 113.5 113.5 113 114 114 113 114 
115 115.5 116 115 114 114.5 113.5 112.5 113.5 114.5 
114.5 114.5 113 114.5 111 111 111 112 112 110 
110.5 110 107.5 107.5 108 108 104.5 107 107 106.5 
107.5 107 106.5 105 107.5 106.5 105.5 106 103.5 105 
103 103.5 104 104 104.5 103 102.5 99.5 102 101.5 
103 103 103.5 103.5 106 106 106 105.5 105.5 106.5 
107 106.5 106.5 106.5 105.5 106.5 108 107 108.5 108.5 
110 111.5 113 113 112 112.5 111.5 113.5 113 113.5 
114.5 114.5 114.5 114 113.5 112.5 113.5 114 113 113 
114 112.5 114 111 111.5 112.5 111.5 109 110 110.5 
109 108 108 108.5 107 106.5 105 106.5 106 106 
106 106.5 107.5 108.5 106 106.5 106 104.5 106.5 103 
103 103 102 102 102 100.5 102 102 102 104 
103.5 103.5 102.5 106 105.5 105 104.5 106 105.5 104.5 
106.5 105.5 106.5 105 106 105 107 109 109.5 110 
110 111 111.5 110 112 112 112.5 112.5 113.5 114 
114.5 114.5 114 113 112.5 112 113.5 111.5 113 112.5 
113 113.5 112 111.5 112.5 112 110.5 111.5 108.5 109 
108 107.5 108.5 108 107.5 107.5 106 105 105.5 106.5 
107.5 108 108.5 106 106 106.5 105 102 101 103 
102 102.5 102 102 102 102 102 100 102.5 103.5 
104 103.5 105 105.5 105.5 105.5 104.5 105.5 105 105 
105 104.5 105.5 107 107 107 107 108.5 110 109.5 
110.5 110 110 111.5 110 111.5 111.5 112.5 112.5 114 
114.5 113.5 113 111.5 112 113.5 112 110.5 112.5 112 
112 112.5 112.5 113 112 113 112.5 108 108.5 108.5 
107.5 108.5 107 107.5 106 107 106.5 106.5 106 105 
105.5 105 105.5 107 106 105 105.5 104 103 102.5 
103 104 102 102 102 102 100.5 102 104 104 
103.5 104.5 105 104.5 105 104.5 106 105 104.5 106.5 
105 106.5 106 107.5 108 107.5 108 109 108.5 109.5 
110 109.5 109.5 110 110 110 111 111.5 113 115 
113.5 113 112 112 112 112.5 111.5 111 112 112.5 
115.5 116.5 115.5 113.5 111 109 110 109.5 109 108 
107.5 108 107 107.5 107.5 108 107.5 107 107 105.5 
105.5 105 104.5 103.5 104 104 104 103.5 103 102 
102 102 102 102 102 102 102 102 102.5 103 
104 104 105 104.5 104 105 104 104 105 104.5 
105.5 104.5 105.5 106 107 108.5 108.5 109.5 108.5 109 
108.5 108 108.5 110 109.5 109.5 109.5 112 114.5 114.5 
113.5 112.5 111.5 111.5 110.5 111 110.5 109 110.5 116.5 
115.5 113 112 110.5 111 110 110.5 109.5 109.5 107.5 
107.5 107.5 108 108 108 108 107 105.5 105.5 105.5 
104 104 104.5 104.5 102.5 102.5 103 103 102 102 
102 102 102 102 102 102 100 101.5 103 104 
103 102 102 103.5 104.5 104 104.5 105 105 104.5 
104.5 105 106.5 106 107.5 107.5 108 109 107.5 107.5 
108 107.5 109.5 110 110.5 111 111 113 114 113 
113 111.5 111.5 111 110 109 110 109 117 114.5 
113.5 112 111.5 111 112 109.5 110 108.5 110 106 
108.5 108 108 106.5 108.5 107 106.5 107.5 106.5 106 
105.5 105 105 105 103.5 103.5 104 105.5 102 102 
102 102 102 102 102 102 102 103 103.5 102 
102 102 102 102 104 104 104.5 104.5 104 105 
104.5 106 105 107 107.5 107.5 108 108 108.5 109 
110 109 109.5 109.5 110.5 111 112.5 114 114 112.5 
111 111 109.5 111 108.5 109 109 114 113.5 113 
111 112.5 109.5 111.5 111.5 112 109 108.5 107.5 109.5 
109 107.5 108.5 109 107.5 107 107 107 107 106 
105.5 105.5 106 105.5 104 105 104 102 102 102 
102 102 102 102 102 102 102.5 103 103 102 
101 101 100.5 105 104.5 103 104 104 105 104 
105 104.5 107 106.5 106.5 106.5 108 109 108.5 109 
109.5 109 108.5 109.5 111 113.5 115 114.5 113 111 
110 109 109.5 108.5 109 110 115 114 112.5 112.5 
112 110 111 110 111.5 110 108.5 109 108.5 109.5 
110 109 110 107.5 108 106.5 107 105.5 107 107.5 
106.5 106 104.5 104.5 103.5 105 104 103.5 102 102 
102 102 102 102 102 100.5 104 103.5 101.5 102 
102 100.5 100.5 103 104 103.5 104 104.5 104.5 105.5 
105.5 106.5 104.5 106.5 107 107.5 107.5 108 107 109 
108.5 108.5 109.5 110.5 112 112.5 113.5 113 112.5 111 
110 109.5 108.5 110 109.5 113.5 114 114 113.5 113 
110.5 110.5 110 108.5 110 110 110.5 109 110 110.5 
110.5 110.5 108 108 107 106.5 107.5 107.5 108 108 
106.5 106 106 105.5 106 104.5 103.5 102.5 102 102 
102 102 102 102 102 102 102 102 102 102 
99 99 103 104 103.5 104.5 104.5 105 105 105.5 
105.5 104.5 106.5 106.5 107 107 107.5 107 108.5 108 
108 109.5 111 110.5 112 113 113 111.5 109.5 109.5 
108.5 107.5 108.5 108.5 115.5 115.5 114.5 114 113 111 
111.5 110.5 110 109 110.5 111.5 111.5 112 112 112 
